Type,Name,Count
נשים יהודיות,עטרה,1637
נשים יהודיות,ליאנה,1086
נשים יהודיות,אבלין,1365
נשים יהודיות,סנדרה,1268
נשים יהודיות,ימית,1605
נשים יהודיות,לולו,1175
נשים יהודיות,שולה,1602
נשים יהודיות,דקל,343
נשים יהודיות,מרטה,1376
נשים יהודיות,הינדה,1508
נשים יהודיות,אמונה,1438
נשים יהודיות,אינסה,1228
נשים יהודיות,קטי,1354
נשים יהודיות,פז,962
נשים יהודיות,זלדה,1518
נשים יהודיות,עישה,988
נשים יהודיות,מירית,1521
נשים יהודיות,זקלין,1467
נשים יהודיות,סעידה,1180
נשים יהודיות,פרומה,1500
נשים יהודיות,לורה,1248
נשים יהודיות,אספיר,1483
נשים יהודיות,אניטה,1327
נשים יהודיות,ארנה,1445
נשים יהודיות,לוטם,1183
נשים יהודיות,דבורה לאה,1487
נשים יהודיות,אודיה,1495
נשים יהודיות,קים,1054
נשים יהודיות,אלאונורה,1144
נשים יהודיות,חסיה,1460
נשים יהודיות,ריקי,1454
נשים יהודיות,אלקה,1417
נשים יהודיות,פאולינה,1359
נשים יהודיות,בילה,1364
נשים יהודיות,לאורה,1231
נשים יהודיות,לני,869
נשים יהודיות,משי,1417
נשים יהודיות,לירי,1317
נשים יהודיות,שהם,936
נשים יהודיות,ליאה,1287
נשים יהודיות,מריאן,353
נשים יהודיות,דגנית,1423
נשים יהודיות,דנית,1412
נשים יהודיות,סוזנה,1238
נשים יהודיות,ברוניה,1382
נשים יהודיות,לינור,1262
נשים יהודיות,עינבל,1379
נשים יהודיות,תרצה,1369
נשים יהודיות,יעלה,1373
נשים יהודיות,שיינדל,1344
נשים יהודיות,סלי,1149
נשים יהודיות,לנה,949
נשים יהודיות,קריסטינה,461
נשים יהודיות,ויקי,1182
נשים יהודיות,יונית,1334
נשים יהודיות,פייגא,1334
נשים יהודיות,אטי,1314
נשים יהודיות,טניה,1094
נשים יהודיות,פאני,1299
נשים יהודיות,אטל,1272
נשים יהודיות,לואיזה,1117
נשים יהודיות,אננה,1210
נשים יהודיות,סוליקה,1294
נשים יהודיות,סוזי,1188
נשים יהודיות,הילדה,1174
נשים יהודיות,רתם,927
נשים יהודיות,רשל,1223
נשים יהודיות,שרה רבקה,1287
נשים יהודיות,דוריס,1155
נשים יהודיות,כנרת,1265
נשים יהודיות,אן,1055
נשים יהודיות,חסיבה,1162
נשים יהודיות,קרולינה,990
נשים יהודיות,הללי,1255
נשים יהודיות,ליבה,1105
נשים יהודיות,בת-אל,1245
נשים יהודיות,וקטוריה,1154
נשים יהודיות,פירה,1245
נשים יהודיות,ברברה,987
נשים יהודיות,לורין,379
נשים יהודיות,אלזה,1099
נשים יהודיות,ישראלה,1210
נשים יהודיות,רייזל,1198
נשים יהודיות,זהבית,1229
נשים יהודיות,ג'ני,1054
נשים יהודיות,אריקה,920
נשים יהודיות,בסיה,1196
נשים יהודיות,שמרית,1214
נשים יהודיות,פרל,1140
נשים יהודיות,דרורה,1195
נשים יהודיות,איבון,953
נשים יהודיות,אני,1086
נשים יהודיות,בינה,1157
נשים יהודיות,אופירה,1172
נשים יהודיות,אירן,1049
נשים יהודיות,אורנית,1170
נשים יהודיות,אמליה,947
נשים יהודיות,גורגיה,1117
נשים יהודיות,חופית,1150
נשים יהודיות,מוניקה,882
נשים יהודיות,מרגרטה,1039
נשים יהודיות,פזית,1147
נשים יהודיות,פולה,1032
נשים יהודיות,פריחה,1075
נשים יהודיות,גוני,644
נשים יהודיות,אסתר מלכה,1123
נשים יהודיות,קורין,1084
נשים יהודיות,מאשה,1064
נשים יהודיות,שרה לאה,1097
נשים יהודיות,פיגה,1046
נשים יהודיות,מדלין,534
נשים יהודיות,קטרין,602
נשים יהודיות,רעיסה,1047
נשים יהודיות,אנז'לה,697
נשים יהודיות,ליז,998
נשים יהודיות,אלגרה,1031
נשים יהודיות,שרלוטה,1001
נשים יהודיות,אמי,888
נשים יהודיות,ריקה,1007
נשים יהודיות,ברוניסלבה,995
נשים יהודיות,עדית,1017
נשים יהודיות,ענהאל,980
נשים יהודיות,זמירה,999
נשים יהודיות,אסתי,987
נשים יהודיות,מרה,931
נשים יהודיות,נליה,763
נשים יהודיות,מילי,933
נשים יהודיות,אינס,541
נשים יהודיות,בת חן,990
נשים יהודיות,ליב,519
נשים יהודיות,אינגה,640
נשים יהודיות,ביילה,952
נשים יהודיות,חלי,954
נשים יהודיות,ג'וליה,546
נשים יהודיות,זואי,810
נשים יהודיות,אושרה,947
נשים יהודיות,מסעודי,937
נשים יהודיות,חממה,859
נשים יהודיות,שמעה,842
נשים יהודיות,פאניה,929
נשים יהודיות,ציפי,932
נשים יהודיות,גיטלה,894
נשים יהודיות,אנג'לה,584
נשים יהודיות,שימרית,917
נשים יהודיות,פיבי,890
נשים יהודיות,קרולין,575
נשים יהודיות,עלמא,881
נשים יהודיות,אירמה,784
נשים יהודיות,אופל,874
נשים יהודיות,רומיה,820
נשים יהודיות,אוולין,643
נשים יהודיות,אנטה,833
נשים יהודיות,קירה,448
נשים יהודיות,אלבינה,543
נשים יהודיות,רוזי,818
נשים יהודיות,זלטה,710
נשים יהודיות,קמילה,572
נשים יהודיות,טופז,797
נשים יהודיות,ליבנת,883
נשים יהודיות,נינל,729
נשים יהודיות,מוריאל,665
נשים יהודיות,עינבר,807
נשים יהודיות,חיה רחל,862
נשים יהודיות,מירל,594
נשים יהודיות,תפארת,848
נשים יהודיות,לוסי,685
נשים יהודיות,ינטה,824
נשים יהודיות,יוספה,835
נשים יהודיות,סביחה,523
נשים יהודיות,סטפני,575
נשים יהודיות,מוניק,768
נשים יהודיות,ליליאנה,634
נשים יהודיות,וידה,787
נשים יהודיות,לייה,749
נשים יהודיות,תהלה,819
נשים יהודיות,יוליאנה,559
נשים יהודיות,ליבא,795
נשים יהודיות,פריידה,789
נשים יהודיות,שיינה,769
נשים יהודיות,אירה,645
נשים יהודיות,מרתה,594
נשים יהודיות,ז'קלין,699
נשים יהודיות,נטלה,717
נשים יהודיות,ז'נה,646
נשים יהודיות,רחלה,764
נשים יהודיות,איב,439
נשים יהודיות,סלין,354
נשים יהודיות,רובי,445
נשים יהודיות,לולה,669
נשים יהודיות,ג'סיקה,485
נשים יהודיות,יקוט,689
נשים יהודיות,אליזה,606
נשים יהודיות,ציליה,761
נשים יהודיות,אחינועם,757
נשים יהודיות,נונה,560
נשים יהודיות,ג'נט,619
נשים יהודיות,אוגניה,707
נשים יהודיות,גרציה,739
נשים יהודיות,אלבירה,535
נשים יהודיות,קטיה,511
נשים יהודיות,פרימה,737
נשים יהודיות,גוליה,619
נשים יהודיות,נעומי,674
נשים יהודיות,ג'ולי,530
נשים יהודיות,קלבדיה,524
נשים יהודיות,אנז'ליקה,370
נשים יהודיות,מנור,388
נשים יהודיות,גילת,741
נשים יהודיות,סתו,515
נשים יהודיות,שנהב,636
נשים יהודיות,שבע,717
נשים יהודיות,יטי,714
נשים יהודיות,נסיה,718
נשים יהודיות,טינה,588
נשים יהודיות,מנוחה,716
נשים יהודיות,איימי,616
נשים יהודיות,ורדית,734
נשים יהודיות,מינדל,698
נשים יהודיות,רנטה,580
נשים יהודיות,שביט,436
נשים יהודיות,אודט,691
נשים יהודיות,איזה,665
נשים יהודיות,ליובה,611
נשים יהודיות,תחיה,706
נשים יהודיות,תבל,551
נשים יהודיות,נינט,707
נשים יהודיות,בת שבע אסתר,723
נשים יהודיות,אניה,596
נשים יהודיות,חנה לאה,713
נשים יהודיות,אדווה,713
נשים יהודיות,דונה,635
נשים יהודיות,גנט,638
נשים יהודיות,חנה רחל,706
נשים יהודיות,נדרה,614
נשים יהודיות,איזבל,517
נשים יהודיות,אראלה,702
נשים יהודיות,חבצלת,707
נשים יהודיות,אליזבת,421
נשים יהודיות,קלאודיה,533
נשים יהודיות,אליאנה,414
נשים יהודיות,ג'קלין,476
נשים יהודיות,כליל,415
נשים יהודיות,רוזט,658
נשים יהודיות,מימי,646
נשים יהודיות,פפי,676
נשים יהודיות,אורפז,641
נשים יהודיות,סרפימה,573
נשים יהודיות,מלבינה,649
נשים יהודיות,חיה רבקה,689
נשים יהודיות,ביאטריס,604
נשים יהודיות,מרגרט,599
נשים יהודיות,מוסיה,664
נשים יהודיות,נגיה,460
נשים יהודיות,זיסל,639
נשים יהודיות,דר,444
נשים יהודיות,קרני,638
נשים יהודיות,חיה לאה,677
נשים יהודיות,אחינעם,672
נשים יהודיות,רחיל,525
נשים יהודיות,יולנדה,601
נשים יהודיות,עדיה,640
נשים יהודיות,ניקה,338
נשים יהודיות,טובי,439
נשים יהודיות,פערל,658
נשים יהודיות,רימונד,355
נשים יהודיות,בתאל,643
נשים יהודיות,ויאולטה,400
נשים יהודיות,מתילדה,606
נשים יהודיות,תלמה,648
נשים יהודיות,סיוון,577
נשים יהודיות,אמלי,466
נשים יהודיות,גרטה,599
נשים יהודיות,מדלן,473
נשים יהודיות,סברינה,491
נשים יהודיות,מיסה,535
נשים יהודיות,אליענה,550
נשים יהודיות,חנית,636
נשים יהודיות,גלילה,335
נשים יהודיות,רקפת,635
נשים יהודיות,קסם,500
נשים יהודיות,ננסי,338
נשים יהודיות,שיפרה,623
נשים יהודיות,הני,498
נשים יהודיות,מגדה,537
נשים יהודיות,בלנקה,596
נשים יהודיות,תמו,620
נשים יהודיות,חיה אסתר,619
נשים יהודיות,טרזה,539
נשים יהודיות,אלגריה,608
נשים יהודיות,נתלי,485
נשים יהודיות,שרה רחל,598
נשים יהודיות,ליסה,482
נשים יהודיות,ברנה,578
נשים יהודיות,אדריאנה,421
נשים יהודיות,עתליה,600
נשים יהודיות,צציליה,575
נשים יהודיות,חן חנה,604
נשים יהודיות,אטלה,574
נשים יהודיות,פרי,375
נשים יהודיות,חושן,505
נשים יהודיות,הינדא,593
נשים יהודיות,פרחיה,588
נשים יהודיות,טאובה,566
נשים יהודיות,ויולט,514
נשים יהודיות,מגי,538
נשים יהודיות,גיטי,574
נשים יהודיות,דניז,534
נשים יהודיות,גרטרוד,545
נשים יהודיות,ימימה,584
נשים יהודיות,מיאל,461
נשים יהודיות,פיגא,585
נשים יהודיות,אסתר הדסה,585
נשים יהודיות,ננה,502
נשים יהודיות,שורה,551
נשים יהודיות,מרגוט,548
נשים יהודיות,רבקה לאה,577
נשים יהודיות,נזימה,518
נשים יהודיות,בת-שבע,581
נשים יהודיות,ויטה,363
נשים יהודיות,מילכה,569
נשים יהודיות,יאנינה,405
נשים יהודיות,סרינה,522
נשים יהודיות,מנוחה רחל,563
נשים יהודיות,אטה,557
נשים יהודיות,גינה,424
נשים יהודיות,חתון,536
נשים יהודיות,רמה,483
נשים יהודיות,אשרת,567
נשים יהודיות,פטריסיה,475
נשים יהודיות,יערית,563
נשים יהודיות,קלודין,465
נשים יהודיות,צילי,546
נשים יהודיות,זנט,534
נשים יהודיות,שושנה רייזל,555
נשים יהודיות,קארן,450
נשים יהודיות,אטיה,543
נשים יהודיות,מגדלנה,473
נשים יהודיות,מרלן,323
נשים יהודיות,צירל,525
נשים יהודיות,ליפז,517
נשים יהודיות,הרמינה,523
נשים יהודיות,ליר,395
נשים יהודיות,מרסיל,350
נשים יהודיות,נלה,476
נשים יהודיות,שיינא,519
נשים יהודיות,דובה,526
נשים יהודיות,חמוטל,532
נשים יהודיות,מרגריט,469
נשים יהודיות,אסתרה,518
נשים יהודיות,ימנה,494
נשים יהודיות,אביגייל,498
נשים יהודיות,בטיה,521
נשים יהודיות,נטי,486
נשים יהודיות,פלה,480
