Original Name,Translated Name
SOD. VALPROATE,סודיום ולפרואט
MIANSERIN HCL,מיאנסרין הידרוכלוריד
HEXACHLORIDE GAMMA BENZENE,גמא בנזן הקסהכלוריד
NICOUMALONE,ניקומאלון
EMTRICITABINE,אמטריסיטאבין
DOLUTEGRAVIR,דולוטגרוויר
"VALSARTAN ,AMLODIPINE BESYLATE","ואלסרטן, אמלודיפין בזילאט"
BENZYL BENZOATE,בנזיל בנזואט
VITAMIN A,ויטמין A
GUAIPHENESIN,גואיפנסין
BEZAFIBRATE,בזפיבראט
LAXIN FORTE,לקסין פורטה
Ethinylestradiol 0.02 mg/Desogestrel 0.15 mg,"אתינילאסטרדיול 0.02 מ""ג/דסוגסטרל 0.15 מ""ג"
PAROXETINE,פרוקסטין
MILNACIPRAN,מילנאציפרן
CHARCOAL,פחם
IRON,ברזל
GRAZOPREVIR/ELBASVIR,גרזופרביר/אלבסוויר
TICAGRELOR,טיקאגרלור
FOLIC ACID,חומצה פולית
PROPAFENONE HCL,פרופאפון הידרוכלוריד
CARBOXYMETHYLCELLULOSE SODIUM 0.5%,קרבוקסימתילצלולוז סודיום 0.5%
PROPRANOLOL,פרופראנולול
BIMONIDINE TART,ברימונידין טרטראט
CETOMACROGOL CF,קטומקרוגול CF
RANITIDINE,רניטידין
Multi-care,מולטי-קייר
LAMIVUDINE,למיבודין
VERAPAMIL,וראפמיל
INSULIN GLARGINE 300U,אינסולין גלרגין 300U
CELECOXIB,סלקוקסיב
BICALUTAMIDE,ביקאלוטמיד
UREA,אוריאה
Glecaprevir-pibrentasvir,גלקפרביר-פיברנטסוויר
PREDNISONE,פרדניזון
CLINDAMYCIN HCL,קלינדמיצין הידרוכלוריד
FOSFOMYCIN,פוספומיצין
PILOCARPINE,פילוקרפין
FLUNISOLIDE,פלוניסוליד
SAXAGLIPTIN,סקסגליפטין
FERROUS SULPH,ברזל סולפט
TROLAMINE,טרולאמין
ACETYLSALICYLIC ACID,חומצה אצטילסליצילית
LIQUIFILM,ליקוויפילם
UNDECYLENATE,אונדסילנט
TRETINOIN (SEE VIT.A),טרטינואין (ראה ויטמין A)
ACETYL-SALICYLIC ACID,חומצה אצטיל-סליצילית
TOLTERODINE TARTRATE,טולטירודין טרטראט
CHLORION GONADOTROPHIN,כלוריון גונדוטרופין
LEVETIRACETAM,לוויטיראצטם
DAPAGLIFLOZIN,דפגליפלוזין
TROSPIUM CHLORIDE,טרוספיום כלוריד
PRAVASTATIN SOD,פראבאסטטין סודיום
TRICLOSAN,טריקלוסן
BIFONAZOLE,ביפונאזול
PHENAZOPYRIDINE,פנאזופירידין
brexpiprazole,ברקספיפראזול
RIBAVIRIN,ריבאווירין
lisdexamfetamine dimesylate,ליסדקסאמפטמין דימזילאט
BETAMETHASONE+CALCIPOTRIOL,בטאמטאזון+קלציפוטריאול
MONTELUKAST SOD,מונטלוקאסט סודיום
CARBAMIDE,קרבמיד
OXERUTIN,אוקסרוטין
WARFARIN,וורפרין
PENTOXIFYLLINE,פנטוקסיפילין
ENTACAPONE,אנטקפון
ACYCLOVIR,אציקלוביר
CARVEDILOL,קרבדילול
Bosentan,בוסנטן
DASATINIB,דסאטיניב
SOD. SULFACETAMIDE,סודיום סולפסצטמיד
FANAPT,פנאפט
CALCIUM GLUBIONATE,סידן גלוביאונט
PROCYCLIDINE,פרוסיקלידין
TRANEXAMIC ACID,חומצה טרנקסמית
RIFAMPICIN,ריפמפיצין
AMANTADINE HCL,אמנטדין הידרוכלוריד
LEVODOPA,לבודופה
PHENYTOIN SOD,פניטואין סודיום
PANCREATIN,פנקראטין
PANTOPRAZOLE,פנטופראזול
DICYCLOMINE HCL,דיקיקלומין הידרוכלוריד
VITAMIN B,ויטמין B
FLUTICASONE PROPIONATE,פלוטיקזון פרופיונאט
ASPIRIN,אספירין
TERBINAFINE,טרבינאפין
ROXITHROMYCIN,רוקסיתרומיצין
DIPYRIDAMOLE,דיפירידאמול
AMPHOTERICIN B,אמפוטריצין B
SALMETEROL,סלמטרול
CLARITHROMYCIN,קלריתרומיצין
ZOLMITRIPTAN,זולמיטריפטן
Tramadol Hcl 37.5mg/paracetamol 325mg,"טרמדול הידרוכלוריד 37.5 מ""ג/פאראצטמול 325 מ""ג"
LIXISENATIDE,ליקסיסנטייד
SUMATRIPTAN,סומטריפטן
PANTHINOL,פנתינול
COAL TAR,זפת פחם
CIPROFIBRATE,ציפרופיבראט
IBUPROFEN,איבופרופן
TRAVAPROST,טרוואפרוסט
GONADOTROPHIN,גונדוטרופין
FLUDROCORTISONE,פלודרוקורטיזון
SELENIUM,סלניום
LIGNOCAIN HCL,לידוקאין הידרוכלוריד
ISONIAZIDE,איזוניאזיד
ZUCLOPENTHIXOL ACUPHASE,זוקלופנתיקסול אקופאז
REPAGLINIDE,רפגליניד
PERMIXON,פרמיקסון
PRASUGREL HCI,פראסוגרל הידרוכלוריד
PRENATAL MULTI-VITAMINS,מולטי-ויטמינים פרנטליים
GOSERELIN,גוסרלין
MIRTAZAPINE,מירטזאפין
HYDRALAZINE,הידראלאזין
NEOMYCIN SULPH,ניאומיצין סולפט
DORZOLAMIDE HCL,דורזולמיד הידרוכלוריד
HYDROCOLLOIS GEL,ג'ל הידרוקולואידי
LOPERAMIDE,לופרמיד
Glucerna Plus Advance,גלוסרנה פלוס אדוונס
CLOTIAPINE,קלוטיאפין
SOD. CHLORIDE,נתרן כלוריד
Empagliflozin,אמפגליפלוזין
GLYCERINE,גליצרין
TETRA BENAZINE,טטרבנאזין
COMPLEX,קומפלקס
DESMOPRESSIN,דסמופרסין
CODEINE PHOS,קודאין פוספט
AMETHOCAINE,אמטוקאין
FLUVASTATIN SOD,פלובסטטין סודיום
AFLUMYCIN CREAM CF,קרם אפלומיצין CF
LIDOCAINE+Nifedipine 3 mg,"לידוקאין + ניפדיפין 3 מ""ג"
RISPERIDONE,ריספרידון
LOSARTAN POTASS,לוסרטן פוטסיום
TAMOXIFEN,טמוקסיפן
INSULIN GLULISINE,אינסולין גלוליזין
METHYLPHENIDATE,מתילפנידאט
MEBENDAZOLE,מבנדאזול
URSODEOXYCHOLIC ACID,חומצה אורסודאוקסיכולית
ENALAPRIL MALEATE,אנלאפריל מלט
POTASSIUM CHLOR,אשלגן כלוריד
CEFACLOR,צפאקלור
FLUOROURACIL,פלואורואורציל
ESTRADIOL,אסטרדיול
DICLOFENAC SOD,דיקלופנק סודיום
MEGESTROL ACETATE,מגסטרול אצטט
OXYTOCIN,אוקסיטוצין
BROMOCRIPTINE,ברומוקריפטין
CHLORPROMAZINE,כלורפרומאזין
LORATADINE,לوراتדין
MULTIVITAMINS 5,מולטי ויטמינים 5
CARBAMAZEPINE,קרבמזפין
DAPAGLIFLOZIN 5 mg+METFORMIN HCL 1000 mg,"דפגליפלוזין 5 מ""ג + מטפורמין הידרוכלוריד 1000 מ""ג"
VANCOMYCIN HCL,ונקומיצין הידרוכלוריד
INSULIN GLARGINE,אינסולין גלרגין
Losartan potassium 50mg/hydrochlorothiazide 12.5 mg,"לוסרטן פוטסיום 50 מ""ג/הידרוכלורותיאזיד 12.5 מ""ג"
EMTRICITABINE 200 mg / TENOFOVIR  DISOPROXIL  245 mg,"אמטריסיטאבין 200 מ""ג / טנופוביר דיסופרוקסיל 245 מ""ג"
CHOLECALCIFEROL,כולקלציפרול
INSULIN LISPRO,אינסולין ליספרו
CITALOPRAM,ציטאלופראם
PHENOLPHTHALEIN,פנולפתלאין
NALOXONE,נלוקסון
I.INFLUENZA VACCINE 4 TYPE,חיסון שפעת 4 סוגים
STANDARD,סטנדרט
DEXAMETHASONE,דקסמתזון
CARBARYL,קרבאריל
TETRACYCLINE HCL,טטרציקלין הידרוכלוריד
EFAVIRENZ,אפווירנז
TRIAMCINOLONE,טריאמצינולון
PARFIN OIL,שמן פרפין
daclatasvir,דקלתסוויר
ALENDRONATE,אלנדרונאט
DRONEDARONE HCL,דרונדרון הידרוכלוריד
BISOPROLOL FUMURATE,ביסופרולול פומראט
PROPYLTHIORACIL,פרופילתיורציל
CHLORPHENIRAMINE MALEATE,כלורפניראמין מלט
LEVOCOBASTINE,לבוקובסטין
LOPINAVIR,לופינוויר
VITAMIN B12,ויטמין B12
XANTHINOL NICOTINATE,קסנתינול ניקוטינאט
HYDROXYCHLOROQUINE  SULPH,הידרוקסיכלורוקין סולפט
DIPHENHYDRAMINE HCL,דיפנהידרמין הידרוכלוריד
DEXTRAN 70,דקסטרן 70
METHYL SALICYLATE,מתיל סליצילאט
PALIPERIDONE PALMITATE,פליפרידון פלמיטאט
OLANZEPINE,אולנזפין
CILAZAPRIL + HCTZ,סילאזאפריל + HCTZ
ESKETAMINE,אסקטאמין
SENNA,סנה
ORLISTAT,אורליסטאט
CLORAZEPATE DIPOTASSIUM,קלוראזפט דיפוטסיום
Sildenafil 20mg,"סילדנפיל 20 מ""ג"
PHENOXYMETHYLPENICILLIN,פנוקסימתילפניצילין
SOD. FUSIDATE,סודיום פוסידאט
FEXOFENADINE,פקסופנאדין
CICLOSPORIN,ציקלוספורין
POTASSIUM,אשלגן
ISOTHIPENDYL,איזותיפנדיל
FLUVOXAMINE MALEATE,פלובוקסאמין מלט
PSEUDO - EPHEDRINE,פסאודו-אפדרין
CABERGOLINE,קברגולין
BUSPIRONE HCL,בוספירון הידרוכלוריד
METOLAZONE,מטולאזון
HYDROXYZINE HCL,הידרוקסיזין הידרוכלוריד
EXENATIDE,אקסנטייד
PALIPERIDONE,פליפרידון
LINAGLIPTIN,לינאגליפטין
ALUMIN HYDROX,אלומיניום הידרוקסיד
METHOTREXATE,מתוטרקסט
PIROXICAM AS B-CYCLODEXTRIN,פירוקסיקם כבי-ציקלודקסטרין
FLECAINIDE ACET,פלוקאיניד אצטט
PIMOZIDE,פימוזיד
EZETIMIBE,אזטימיב
CARBOCAINE,קרבוקאיין
H2O,מים
NITRAZEPAM,ניטראזפאם
FLUPHENAZINE,פלופנאזין
VASODIP COMBO,ואזודיפ קומבו
ALPHA D 3,אלפא די 3
METEONIDAZOLE,מטרונידזול
ORPHENADRINE,אורפנדרין
BENZANTHINE PENICILLIN G,בנזנתין פניצילין ג'
ALFUZOSINE HCL,אלפוזוסין הידרוכלוריד
lubricant,חומר סיכה
NORTRIPTYLINE HCI,נורטריפטילין הידרוכלוריד
METOPROLOL TART,מטופרולול טרטראט
MEROKEN,מרוקן
MIRABEGRON,מירבגרון
"CALCIPOTRIOL AS HYDRATE 50 MG/G, BETAMETHASONE AS DIPROPIONATE 0.5 MG/G","קלציפוטריאול הידראט 50 מ""ג/ג' ובטאמטזון דיפרופיונאט 0.5 מ""ג/ג'"
TAMSULOSIN HCL,טמסולוזין הידרוכלוריד
ACETRETIN,אצטטרטין
TESTOSTERONE ENANTHATE,טסטוסטרון אננתט
INACTIVATED SPLIT INFLUENZA VACCINE,חיסון שפעת מפוצל מומת
RIVAROXABAN,ריברוקסבאן
OMEPRAZOLE,אומפרזול
LEVOTHYROXINE SODIUM,לבותירוקסין נתרן
BUPRENORFIN,בופרנורפין
FORMOTEROL FUMARATE,פורמוטרול פומראט
TACROLIMUS,טקרולימוס
SALICYLIC ACID 10% OINT,משחת חומצה סליצילית 10%
MUPIROCIN,מופירוצין
QUETIPINE,קווטיאפין
CHENIC ACID,חומצה חניתית
LACTULOSE,לקטולוז
LIQUID IRON,ברזל נוזלי
CARIPRAZINE,קריפרזין
SULFAMETHOXAZOLE+TRIMETHOPRIM,סולפמתוקסאזול + טרימטופרים
RAMIPRIL,רמיפריל
VALERIAN,ולריאן
PHENYLPROPANOLAMINE,פנילפרופנולאמין
FLUARIX,פלואריקס
Insulin Biphasic Aspart,אינסולין בי-פאזי אספרט
DOMPERIDONE,דומפרידון
SOLIFENACIN SUCCINATE,סוליפנסין סוקסינט
Olodaterol,אולודטרול
TERAZOSIN,טראזוזין
BISACODYL,ביסאקודיל
MELATONIN,מלטונין
OXYCONDONE HCL,אוקסיקודון הידרוכלוריד
FLUPENTIXOL DIHCL,פלופנטיקסול דיהידרוכלוריד
BUTENAFINE HCL,בוטנפין הידרוכלוריד
MINOXIDIL,מינוקסידיל
ANAGRELIDE HCL,אנגרליד הידרוכלוריד
CINNARIZINE 25 MG,"צינריזין 25 מ""ג"
INDAPAMIDE,אינדפמיד
HYDROXYPROPYLMETHYLCELLULOSE,הידרוקסיפרופילמתילצלולוז
SODIUM BICARBONATET,נתרן ביקרבונט
PALPERIDONE,פליפרידון
QUINAGOLIDE HCL,קינאגוליד הידרוכלוריד
COPOLYMER -1,קופולימר 1
SPIRONOLACTONE,ספירונולקטון
INH RELVAR ELLIPTA 92 MCG,"אינהלציה רלבר אליפטה 92 מק""ג"
THIORIDAZINE,תיורידאזין
ZOLPIDEM,זולפידם
AMITRIPTYLINE,אמיטריפטילין
LITHIUM CARBONATE,ליתיום קרבונט
Cetirizine Hydrochloride,צטיריזין הידרוכלוריד
FENTANYL,פנטניל
LEVOMEPROMAZINE,לבומפרומזין
CLONAZEPAM,קלונאזפם
CEPHALEXIN,צפלקסין
VELPATASVIR\SOFOSBUVIR,ולפטסוויר\סופוסבוביר
LACOSAMIDE,לקוסמיד
NEOMYCIN,ניאומיצין
SODIUM CHLORIDE,נתרן כלוריד
ZUCLOPENTHIXOL,זוקלופנטיקסול
metFORMIN,מטפורמין
FLUTICASONE/UMECIDINIUM/VILANTEROL,פלוטיקזון/אומצידיניום/וילנטרול
BIMATOPROST,בימאטופרוסט
BETAMETHASONE,בטאמטזון
GLIBENCLAMIDE,גליבנקלמיד
TRIHEXYPHENIDYL,טריהקסיפנידיל
RIVASTIGMINE HYDROGEN TART,ריבסטיגמין הידרוגן טרטראט
ESCITALOPRAM,אסקיטלופרם
DOXYCYCLINE,דוקסיציקלין
CAPTOPRIL,קפטופריל
ETORICOXIB,אטוריקוקסיב
LIRAGLUTIDE,לירגלוטיד
MODAFINIL,מודפיניל
POVIDONE IODINE,פובידון יוד
AMLODIPINE BESYLATE,אמלודיפין בזילאט
VITA-CAL+D,ויטה-קל+די
raltegravir,רלטגרביר
